IDTroncon;SuperficieAmontDrainee(km2)
1;1550.365000
2;7.960000
3;1538.632000
4;583.332400
5;564.529800
6;516.899900
7;11.757500
8;503.067500
9;484.075000
10;479.727500
11;66.647500
12;54.787500
13;52.190000
14;25.277500
15;16.345000
16;410.082500
17;379.250000
18;376.167500
19;371.007500
20;359.247500
21;350.290000
22;349.742500
23;348.907500
24;338.805000
25;312.440000
26;311.525000
27;308.822500
28;304.700000
29;301.010000
30;299.192500
31;296.285000
32;285.035000
33;282.185000
34;281.632500
35;281.057500
36;279.930000
37;264.982500
38;264.810000
39;263.847500
40;252.640000
41;252.332500
42;235.020000
43;232.592500
44;231.767500
45;25.165000
46;197.457500
47;146.852500
48;20.007500
49;6.390000
50;113.487500
51;105.427500
52;102.845000
53;89.807500
54;87.747510
55;87.172510
56;27.572500
57;16.090000
58;6.467500
59;6.137500
60;37.902500
61;28.385000
62;16.475000
63;44.730000
64;14.642500
65;33.680000
66;28.382500
67;18.707500
68;6.460000
69;936.480100
70;929.910100
71;925.185100
72;922.735100
73;763.940100
74;4.185000
75;759.722600
76;550.420000
77;0.017500
78;539.277500
79;80.047500
80;28.595000
81;43.997500
82;37.280000
83;0.165000
84;442.535000
85;22.952500
86;406.035000
87;31.822500
88;359.460000
89;333.372500
90;328.417500
91;34.642500
92;22.735000
93;9.222500
94;5.125000
95;1.522500
96;285.895000
97;1.570000
98;282.637500
99;258.855000
100;21.715000
101;222.035000
102;80.195000
103;4.745000
104;74.505000
105;19.210000
106;52.485000
107;16.607500
108;28.595000
109;10.880000
110;14.135000
111;132.402500
112;91.787510
113;73.687510
114;1.870000
115;69.202510
116;46.080000
117;21.030000
118;6.167500
119;9.125001
120;13.992500
121;19.457500
122;7.140000
123;8.885000
124;14.927500
125;7.115000
126;187.465000
127;26.052500
128;158.660000
129;132.182500
130;94.992500
131;16.517500
132;64.847500
133;44.345000
134;32.140000
135;25.075000
136;20.297500
137;19.472500
138;16.067500
139;30.825000
140;11.785000
141;2.662500
142;3.910000
143;7.340000
144;19.025000
145;136.167500
146;112.140000
147;101.785000
148;95.945000
149;88.702500
150;2.547500
151;77.360000
152;26.942500
153;4.147500
154;21.037500
155;36.460000
156;16.750000
157;8.107500
