IdTroncon;NoOrdreShreve
1;48
2;1
3;47
4;46
5;45
6;44
7;1
8;43
9;42
10;41
11;5
12;4
13;3
14;2
15;1
16;40
17;39
18;38
19;37
20;36
21;35
22;34
23;33
24;32
25;31
26;30
27;29
28;28
29;27
30;26
31;25
32;24
33;23
34;22
35;21
36;20
37;19
38;18
39;17
40;16
41;15
42;14
43;13
44;12
45;1
46;11
47;10
48;2
49;1
50;9
51;8
52;7
53;6
54;5
55;4
56;3
57;2
58;1
59;1
60;3
61;2
62;1
63;1
64;1
65;3
66;2
67;1
68;1
69;24
70;23
71;22
72;21
73;20
74;1
75;19
76;18
77;1
78;17
79;3
80;1
81;2
82;1
83;1
84;16
85;1
86;15
87;1
88;14
89;13
90;12
91;3
92;1
93;2
94;1
95;1
96;11
97;1
98;10
99;9
100;1
101;8
102;5
103;1
104;4
105;1
106;3
107;1
108;2
109;1
110;1
111;7
112;6
113;5
114;1
115;4
116;3
117;2
118;1
119;1
120;1
121;1
122;1
123;1
124;1
125;1
126;11
127;1
128;10
129;9
130;8
131;1
132;7
133;6
134;5
135;4
136;3
137;2
138;1
139;3
140;2
141;1
142;1
143;1
144;1
145;8
146;7
147;6
148;5
149;4
150;1
151;3
152;2
153;1
154;1
155;2
156;1
157;1
