IdTroncon;NoOrdreStrahler
1;4
2;1
3;4
4;2
5;2
6;2
7;1
8;2
9;2
10;2
11;1
12;1
13;1
14;1
15;1
16;2
17;2
18;2
19;2
20;2
21;2
22;2
23;2
24;2
25;2
26;2
27;2
28;2
29;2
30;2
31;2
32;2
33;2
34;2
35;2
36;2
37;2
38;2
39;2
40;2
41;2
42;2
43;2
44;2
45;1
46;2
47;2
48;1
49;1
50;2
51;2
52;2
53;2
54;2
55;2
56;2
57;1
58;1
59;1
60;1
61;1
62;1
63;1
64;1
65;1
66;1
67;1
68;1
69;4
70;4
71;4
72;4
73;4
74;1
75;4
76;3
77;1
78;3
79;2
80;1
81;2
82;1
83;1
84;3
85;1
86;3
87;1
88;3
89;3
90;3
91;2
92;1
93;2
94;1
95;1
96;3
97;1
98;3
99;3
100;1
101;3
102;2
103;1
104;2
105;1
106;2
107;1
108;2
109;1
110;1
111;2
112;2
113;2
114;1
115;2
116;2
117;2
118;1
119;1
120;1
121;1
122;1
123;1
124;1
125;1
126;3
127;1
128;3
129;3
130;2
131;1
132;1
133;1
134;1
135;1
136;1
137;1
138;1
139;2
140;2
141;1
142;1
143;1
144;1
145;3
146;3
147;3
148;3
149;3
150;1
151;3
152;2
153;1
154;1
155;2
156;1
157;1
