ID; Superficie [km2]; Width PHYSITEL [m]; Width SWAT [m]; Depth SWAT [m]
1; 1550.280000; 46.59; 105.89; 2.46
2; 7.955000; 1.77; 4.48; 0.30
3; 1538.572500; 46.37; 105.40; 2.45
4; 583.305000; 25.41; 58.90; 1.66
5; 564.525000; 24.90; 57.76; 1.64
6; 516.890000; 23.58; 54.78; 1.58
7; 11.752500; 2.26; 5.66; 0.35
8; 503.045000; 23.18; 53.90; 1.57
9; 484.040000; 22.64; 52.66; 1.54
10; 479.695000; 22.51; 52.38; 1.54
11; 66.605000; 6.62; 16.02; 0.70
12; 54.780000; 5.86; 14.25; 0.64
13; 52.095000; 5.68; 13.83; 0.63
14; 24.627500; 3.57; 8.82; 0.47
15; 16.317500; 2.77; 6.89; 0.40
16; 410.067500; 20.43; 47.68; 1.44
17; 379.127500; 19.46; 45.48; 1.40
18; 375.585000; 19.34; 45.23; 1.39
19; 370.995000; 19.20; 44.90; 1.39
20; 359.240000; 18.82; 44.04; 1.37
21; 350.282500; 18.52; 43.38; 1.35
22; 349.735000; 18.51; 43.33; 1.35
23; 0.880000; 18.48; 1.19; 0.12
24; 338.785000; 18.14; 42.52; 1.34
25; 312.415000; 17.26; 40.50; 1.29
26; 311.507500; 17.22; 40.43; 1.29
27; 308.755000; 17.13; 40.21; 1.29
28; 304.667500; 16.99; 39.89; 1.28
29; 300.932500; 16.86; 39.60; 1.27
30; 299.142500; 16.80; 39.46; 1.27
31; 294.805000; 16.65; 39.11; 1.26
32; 285.027500; 16.30; 38.33; 1.25
33; 282.075000; 16.20; 38.09; 1.24
34; 281.622500; 16.18; 38.05; 1.24
35; 281.030000; 16.16; 38.01; 1.24
36; 277.905000; 16.05; 37.75; 1.23
37; 264.972500; 15.58; 36.69; 1.21
38; 264.737500; 15.57; 36.67; 1.21
39; 263.840000; 15.54; 36.59; 1.21
40; 252.595000; 15.13; 35.65; 1.19
41; 252.157500; 15.11; 35.61; 1.19
42; 234.975000; 14.46; 34.14; 1.15
43; 232.577500; 14.37; 33.93; 1.15
44; 231.745000; 14.34; 33.85; 1.15
45; 25.160000; 3.62; 8.93; 0.47
46; 197.442500; 12.98; 30.75; 1.08
47; 146.805000; 10.80; 25.74; 0.96
48; 20.002500; 3.14; 7.78; 0.43
49; 6.320000; 1.54; 3.90; 0.27
50; 113.480000; 9.21; 22.06; 0.86
51; 104.600000; 8.76; 21.00; 0.84
52; 102.830000; 8.66; 20.79; 0.83
53; 89.617500; 7.96; 19.14; 0.79
54; 87.455000; 7.84; 18.87; 0.78
55; 86.290000; 7.77; 18.71; 0.77
56; 27.552500; 3.83; 9.43; 0.49
57; 16.080000; 2.74; 6.83; 0.39
58; 6.462500; 1.56; 3.95; 0.27
59; 6.102500; 1.50; 3.82; 0.27
60; 37.867500; 4.66; 11.42; 0.56
61; 28.375000; 3.90; 9.60; 0.50
62; 16.467500; 2.78; 6.93; 0.40
63; 44.725000; 5.17; 12.62; 0.59
64; 14.635000; 2.59; 6.45; 0.38
65; 33.675000; 4.34; 10.64; 0.53
66; 28.337500; 3.90; 9.59; 0.50
67; 18.687500; 3.01; 7.47; 0.42
68; 6.450000; 1.56; 3.95; 0.27
69; 936.472500; 34.08; 78.25; 2.01
70; 929.870000; 33.93; 77.92; 2.00
71; 925.037500; 33.82; 77.68; 2.00
72; 922.575000; 33.77; 77.55; 2.00
73; 763.935000; 30.04; 69.25; 1.85
74; 4.180000; 1.19; 3.04; 0.23
75; 759.717500; 29.94; 69.02; 1.85
76; 550.397500; 24.51; 56.88; 1.62
77; 0.012500; 0.03; 0.09; 0.02
78; 539.087500; 24.20; 56.18; 1.61
79; 80.022500; 7.42; 17.89; 0.75
80; 28.592500; 3.92; 9.65; 0.50
81; 43.995000; 5.12; 12.49; 0.59
82; 37.272500; 4.62; 11.31; 0.55
83; 0.160000; 0.16; 0.43; 0.06
84; 442.530000; 21.41; 49.91; 1.49
85; 22.935000; 3.42; 8.45; 0.46
86; 406.022500; 20.30; 47.39; 1.44
87; 31.807500; 4.19; 10.28; 0.52
88; 359.442500; 18.82; 44.05; 1.37
89; 333.370000; 17.96; 42.11; 1.33
90; 328.295000; 17.79; 41.72; 1.32
91; 34.640000; 4.41; 10.82; 0.54
92; 22.730000; 3.40; 8.41; 0.45
93; 9.165000; 1.94; 4.87; 0.32
94; 5.120000; 1.35; 3.44; 0.25
95; 1.517500; 0.63; 1.66; 0.15
96; 285.890000; 16.33; 38.40; 1.25
97; 1.260000; 0.57; 1.48; 0.14
98; 282.627500; 16.22; 38.13; 1.24
99; 258.847500; 15.36; 36.18; 1.20
100; 21.712500; 3.30; 8.18; 0.45
101; 221.657500; 13.95; 32.96; 1.13
102; 80.187500; 7.43; 17.91; 0.75
103; 4.740000; 1.29; 3.28; 0.24
104; 74.452500; 7.09; 17.13; 0.73
105; 19.165000; 3.06; 7.59; 0.42
106; 52.475000; 5.71; 13.89; 0.63
107; 16.600000; 2.80; 6.96; 0.40
108; 28.557500; 3.92; 9.64; 0.50
109; 10.875000; 2.15; 5.40; 0.34
110; 14.085000; 2.53; 6.31; 0.37
111; 132.332500; 10.13; 24.19; 0.92
112; 91.780000; 8.07; 19.42; 0.79
113; 73.650000; 7.04; 17.02; 0.73
114; 1.867500; 0.72; 1.88; 0.17
115; 69.192500; 6.78; 16.39; 0.71
116; 46.077500; 5.27; 12.84; 0.60
117; 21.027500; 3.24; 8.02; 0.44
118; 6.160000; 1.51; 3.84; 0.27
119; 9.100000; 1.93; 4.85; 0.31
120; 13.982500; 2.51; 6.28; 0.37
121; 19.450000; 3.09; 7.65; 0.43
122; 7.067500; 1.65; 4.17; 0.28
123; 8.880000; 1.90; 4.78; 0.31
124; 14.912500; 2.62; 6.53; 0.38
125; 7.072500; 1.65; 4.17; 0.28
126; 187.457500; 12.57; 29.81; 1.05
127; 26.042500; 3.70; 9.12; 0.48
128; 158.645000; 11.34; 26.97; 0.99
129; 132.175000; 10.12; 24.17; 0.92
130; 94.990000; 8.25; 19.82; 0.80
131; 16.385000; 2.77; 6.91; 0.40
132; 64.842500; 6.51; 15.77; 0.69
133; 44.335000; 5.14; 12.55; 0.59
134; 32.117500; 4.21; 10.34; 0.52
135; 24.985000; 3.60; 8.90; 0.47
136; 20.292500; 3.17; 7.85; 0.43
137; 19.362500; 3.08; 7.63; 0.43
138; 16.062500; 2.74; 6.82; 0.39
139; 30.817500; 4.10; 10.09; 0.51
140; 11.777500; 2.26; 5.67; 0.35
141; 2.655000; 0.90; 2.32; 0.19
142; 3.902500; 1.14; 2.92; 0.22
143; 7.325000; 1.68; 4.26; 0.29
144; 19.017500; 3.04; 7.55; 0.42
145; 136.155000; 10.31; 24.60; 0.93
146; 112.102500; 9.14; 21.90; 0.86
147; 101.770000; 8.61; 20.66; 0.83
148; 95.907500; 8.30; 19.94; 0.81
149; 88.692500; 7.90; 19.02; 0.78
150; 2.537500; 0.87; 2.26; 0.19
