RESUMER ZONES HYDROTEL VERSION;4.1.4.0000

UHRH ID; TYPE; ALTITUDE MOYENNE (m); PENTE MOYENNE; ORIENTATION MOYENNE; NB PIXEL; SUPERFICIE (km2); LONGITUDE; LATITUDE
1;SOUS-BASSIN;82.296577;0.024750;3;934;2.335000;-72.31474;46.05018
2;SOUS-BASSIN;77.754784;0.041056;6;575;1.437500;-72.30631;46.06322
3;SOUS-BASSIN;80.112320;0.018376;4;276;0.690000;-72.28925;46.05239
4;SOUS-BASSIN;78.821274;0.026592;7;235;0.587500;-72.29654;46.05780
5;SOUS-BASSIN;86.156754;0.011852;5;2673;6.682500;-72.27886;46.06803
6;SOUS-BASSIN;87.992188;0.022419;3;4480;11.200000;-72.29168;46.03385
7;SOUS-BASSIN;86.033791;0.022053;7;3048;7.620000;-72.26146;46.05857
8;SOUS-BASSIN;88.829208;0.014308;4;4485;11.212500;-72.21397;46.01471
9;SOUS-BASSIN;79.699112;0.033331;7;452;1.130000;-72.24427;46.04909
10;SOUS-BASSIN;82.879967;0.012133;5;2241;5.602500;-72.21183;46.04862
11;SOUS-BASSIN;89.513329;0.018603;8;3339;8.347500;-72.23297;46.07184
12;SOUS-BASSIN;82.295181;0.020184;5;166;0.415000;-72.20531;46.07114
13;SOUS-BASSIN;89.248497;0.014076;1;664;1.660000;-72.22259;46.08107
14;SOUS-BASSIN;95.370049;0.009527;8;3913;9.782500;-72.21058;46.10123
15;SOUS-BASSIN;79.250000;0.033472;1;12;0.030000;-72.20740;46.07705
16;SOUS-BASSIN;93.452438;0.008558;8;778;1.945000;-72.22402;46.08918
17;SOUS-BASSIN;88.170227;0.017890;4;1733;4.332500;-72.17380;46.07637
18;SOUS-BASSIN;93.258018;0.014109;6;5864;14.660000;-72.17270;46.10460
19;SOUS-BASSIN;96.582191;0.034814;4;438;1.095000;-72.15561;46.08213
20;SOUS-BASSIN;97.890083;0.025954;6;1301;3.252500;-72.15236;46.09165
21;SOUS-BASSIN;102.489113;0.030575;1;689;1.722500;-72.14312;46.07144
22;SOUS-BASSIN;101.068626;0.040381;6;510;1.275000;-72.13643;46.08071
23;SOUS-BASSIN;98.444313;0.008342;4;835;2.087500;-72.10944;46.07635
24;SOUS-BASSIN;103.762085;0.011274;8;3909;9.772500;-72.11287;46.09140
25;SOUS-BASSIN;100.489433;0.009415;3;852;2.130000;-72.08436;46.07748
26;SOUS-BASSIN;101.304810;0.008187;7;187;0.467500;-72.08494;46.08625
27;SOUS-BASSIN;115.165779;0.012247;5;7528;18.820000;-72.03420;46.09534
28;SOUS-BASSIN;103.875191;0.007492;8;3237;8.092500;-72.07595;46.10786
29;SOUS-BASSIN;109.125511;0.008063;5;1219;3.047500;-72.03560;46.11576
30;SOUS-BASSIN;108.643158;0.007159;7;2354;5.885000;-72.04762;46.12993
31;SOUS-BASSIN;111.409088;0.007363;3;44;0.110000;-72.02994;46.12389
32;SOUS-BASSIN;113.649574;0.006220;5;702;1.755000;-72.01719;46.13073
33;SOUS-BASSIN;133.321823;0.013963;5;5792;14.480000;-71.98521;46.12124
34;SOUS-BASSIN;106.640266;0.015585;4;5543;13.857500;-72.12240;46.04410
35;SOUS-BASSIN;96.312965;0.026885;6;933;2.332500;-72.11263;46.06817
36;SOUS-BASSIN;109.624474;0.015014;4;711;1.777500;-72.08249;46.05544
37;SOUS-BASSIN;99.984673;0.015691;7;522;1.305000;-72.09177;46.06686
38;SOUS-BASSIN;116.613380;0.028266;4;1226;3.065000;-72.06642;46.06279
39;SOUS-BASSIN;102.044151;0.023714;7;838;2.095000;-72.07033;46.07310
40;SOUS-BASSIN;125.413445;0.015742;2;2588;6.470000;-72.03088;46.05918
41;SOUS-BASSIN;125.095932;0.020556;6;2116;5.290000;-72.02299;46.07219
42;SOUS-BASSIN;129.795120;0.010637;5;1269;3.172500;-71.99037;46.06121
43;SOUS-BASSIN;135.196625;0.013303;8;2314;5.785000;-71.99381;46.08436
44;SOUS-BASSIN;130.236115;0.018422;2;72;0.180000;-71.99170;46.07039
45;SOUS-BASSIN;128.843536;0.010888;6;147;0.367500;-71.98711;46.07557
46;SOUS-BASSIN;130.839371;0.012758;3;193;0.482500;-71.98501;46.06799
