No_Simulation,KGE,bv3c_C1,bv3c_C2,bv3c_C3,bv3c_CR,djm_SFF,djm_SFC,djm_SFO,djm_TFF,djm_TFC,djm_TFO,ETP,THI,Conductivite,Manning_riviere
6,0.49046,0.050669,0.33309,6.4518,1.3733e-07,0.49163,1.4988,-0.51556,11.8411,8.2193,17.0588,0.73251,-0.059085,0.11271,0.03343
7,0.68962,0.1146,0.11043,7.1187,1.614e-08,0.76287,0.76287,0.76287,10.949,10.586,11.324,0.65043,0.016882,0.16123,0.051881
8,0.5991,0.12155,0.13783,3.4517,3.7418e-06,0.44546,0.58843,0.3025,13.389,12.945,13.848,0.59607,0.31135,0.16123,0.051881
9,0.60711,0.12476,0.1,6.1812,1.4223e-08,0.70708,1.3735,0.040637,12.936,12.936,12.936,0.5,-0.44387,0.16376,0.052965
10,0.63461,0.10207,0.19728,7.5162,2.6819e-08,0.3734,0.47725,0.26955,10.712,10.357,11.08,0.74159,0.016882,0.16123,0.023451
11,0.7045,0.10668,0.14867,8.0946,1.0493e-08,0.76287,0.76287,0.76287,10.428,10.428,10.428,0.71118,0.79131,0.18918,0.084174
12,0.43088,0.10033,0.46617,8.8296,1.3611e-08,0.60547,0.60547,0.60547,10.428,10.142,10.722,0.68255,0.64721,0.15107,0.092983
13,0.63269,0.1047,0.16428,8.0946,1.0493e-08,0.45647,0.45647,0.45647,10.428,10.075,10.793,0.59261,0.79131,0.18918,0.1
14,0.62105,0.075915,0.22466,8.0946,1.0493e-08,0.76287,2.7723,-1.2466,10.428,10.428,10.428,0.71118,0.79131,0.18285,0.084174
15,0.59767,0.08765,0.31666,3.4293,5.4167e-09,0.76287,0.76287,0.76287,10.428,10.428,10.428,0.71118,0.79131,0.18918,0.067379
16,0.80957,0.10668,0.1,9.2758,9.157e-09,0.29181,0.29181,0.29181,3.4721,2.903,4.1528,0.71118,1,0.11211,0.084174
17,0.82742,0.087467,0.1,9.5603,2.8955e-09,0.29181,0.35757,0.22606,3.4721,2.903,4.1528,0.7419,0.63096,0.11211,0.084174
18,0.75486,0.067777,0.1,9.5603,2.8955e-09,0.29181,0.29181,0.29181,3.4721,2.903,4.1528,0.54997,0.75057,0.11211,0.079607
19,0.53336,0.098715,0.36986,9.5603,2.9959e-08,0.29181,1.4585,-0.87485,3.3836,3.241,3.5325,0.7419,0.74572,0.11211,0.086055
20,0.80159,0.087467,0.1,8.4408,1.1847e-09,0.29181,0.66571,-0.082083,3,2.5083,3.5882,0.79814,0.018372,0.11211,0.077018
21,0.75137,0.10892,0.14563,7.537,3.6728e-09,0.29181,0.35757,0.22606,3.4721,2.903,4.1528,0.7419,0.63096,0.14482,0.093122
22,0.57387,0.1178,0.22844,9.5603,2.8955e-09,0.29181,0.35757,0.22606,3.4721,2.903,4.1528,0.99887,0.74714,0.14535,0.084174
23,0.365,0.096835,0.1,9.5231,6.2286e-08,0.27113,0.59729,-0.055031,5.1466,3.7745,7.0174,1.1866,0.63096,0.11798,0.084174
24,0.75173,0.026339,0.1,9.028,3.0662e-09,0.29181,0.29773,0.28589,3.4721,2.903,4.1528,0.7419,0.9537,0.099581,0.092295
25,0.76223,0.087467,0.1,8.4907,3.2602e-09,0.37269,0.57715,0.16823,4.366,3.6503,5.2219,0.79872,0.057055,0.067231,0.084174
26,0.79426,0.087467,0.1,9.5603,2.8955e-09,0.29181,0.35757,0.22606,3.4721,2.903,4.1528,0.7419,-0.54598,0.1526,0.084174
27,0.80544,0.10467,0.1,9.5603,2.8955e-09,0.29181,0.29181,0.29181,3.4721,2.903,4.1528,0.7419,0.63096,0.16429,0.084174
28,0.64315,0.087467,0.20628,9.5603,2.8955e-09,0.29181,0.35757,0.22606,4.1642,2.782,6.2331,0.85878,0.41953,0.11211,0.090842
29,0.68827,0.087467,0.21197,9.9416,1.0234e-07,0.080666,1.0377,-0.8764,3.4721,2.903,4.1528,0.7419,0.63096,0.05141,0.084174
30,0.41447,0.087467,0.18367,10,4.583e-09,0.29181,0.35757,0.22606,8.591,6.3764,11.575,1.0867,0.63096,0.11211,0.084174
31,0.61867,0.085019,0.1,9.1326,3.0311e-09,0.14321,0.20896,0.077454,7.8341,6.5499,9.3699,0.91261,-0.053822,0.11211,0.082585
32,0.54393,0.087467,0.32782,9.401,2.9446e-09,0.29181,0.35757,0.22606,6.4217,5.3133,7.7614,0.68964,0.57217,0.11211,0.1
33,0.50214,0.087467,0.38574,9.356,2.9587e-09,0.29181,0.35757,0.22606,3.4721,2.903,4.1528,0.55293,0.63096,0.065516,0.084174
34,0.81931,0.087467,0.1,9.6854,2.8581e-09,0.29181,0.35757,0.22606,3.4721,3.0657,3.9324,0.7419,1,0.11211,0.084174
35,0.73067,0.10544,0.12626,9.7904,8.1298e-07,0.29181,0.90662,-0.323,3.4721,2.4291,4.9631,0.7419,0.63096,0.11211,0.084174
36,0.82683,0.087467,0.1,9.5603,1.046e-09,0.29181,0.68813,-0.10451,3.4721,2.903,4.1528,0.7419,0.53433,0.11211,0.082576
37,0.74094,0.10002,0.16391,9.3552,2.959e-09,0.29181,0.35757,0.22606,4.6703,3.3746,6.4637,0.7419,0.63096,0.18886,0.084174
38,0.8394,0.087467,0.1,9.5603,2.0328e-08,0.29181,0.35757,0.22606,4.6302,3.8712,5.538,0.7419,0.63096,0.11211,0.069668
39,0.79537,0.087467,0.1,9.5603,2.0328e-08,0.29181,0.35757,0.22606,4.6302,3.8712,5.538,0.59158,0.63096,0.11211,0.069668
40,0.81412,0.062891,0.11982,9.5603,1.2705e-09,0.29181,0.35757,0.22606,4.6302,3.8712,5.538,0.64663,0.63096,0.2,0.066175
41,0.8045,0.087467,0.1,9.5603,2.0328e-08,-0.10408,0.9521,-1.1603,4.6302,4.2598,5.0329,0.7419,0.63096,0.13551,0.069668
42,0.76067,0.087467,0.17316,8.0136,2.6112e-08,0.29181,0.35757,0.22606,3.552,2.9697,4.2483,0.7419,0.63096,0.11211,0.069668
43,0.83949,0.087467,0.1,10,2.4177e-09,0.29181,0.55405,0.029569,4.6302,3.495,6.1341,0.7419,0.95909,0.11211,0.069668
44,0.8111,0.087467,0.1,10,2.4177e-09,0.29181,0.55405,0.029569,4.4858,3.6436,5.5227,0.7419,0.95909,0.063381,0.05536
45,0.80051,0.12626,0.1,10,2.4177e-09,0.29181,0.55405,0.029569,4.6302,3.495,6.1341,0.7419,0.75648,0.073764,0.070275
46,0.77073,0.04936,0.12368,10,2.4177e-09,0.29181,0.94596,-0.36234,7.5986,5.7357,10.067,0.7419,0.95909,0.14956,0.092281
47,0.83862,0.076356,0.10643,8.6534,2.7939e-09,0.29181,0.55405,0.029569,4.6302,3.8891,5.5126,0.7419,0.95909,0.11211,0.069668
48,0.81642,0.087467,0.1,10,1.6373e-09,0.29181,1.3067,-0.72308,4.6302,3.495,6.1341,0.7419,0.95909,0.11211,0.069368
49,0.72541,0.087467,0.1,10,2.4177e-09,0.29181,0.55405,0.029569,4.6302,3.495,6.1341,0.9363,0.95909,0.11211,0.048661
50,0.68671,0.087467,0.1,10,2.4177e-09,0.29181,1.9232,-1.3395,5.0501,3.812,6.6904,0.5,0.67115,0.14447,0.069668
51,0.57953,0.087369,0.26616,10,2.4177e-09,-0.18692,0.075324,-0.44916,4.6302,2.8504,7.5213,0.9084,0.95909,0.13701,0.069668
52,0.7816,0.093909,0.1,10,2.4177e-09,0.79424,1.0565,0.53199,4.6302,3.495,6.1341,0.57281,0.95909,0.11211,0.062931
53,0.80846,0.083973,0.1,10,1.7258e-09,0.29181,0.55405,0.029569,3.555,2.6834,4.7096,0.65923,0.99603,0.11211,0.085112
54,0.75772,0.087467,0.17731,10,2.4177e-09,0.29181,0.55405,0.029569,3.3498,2.5285,4.4377,0.7419,0.95909,0.11211,0.069668
