ID;LAT;LONG;IDTRONCON;IDUHRH;SUP;REGION;VOL_TOTAL;MAX_7_JOUR;GEL_TOTAL;CRITERE;SOURCE;PUIT_SIH;SITE;SITE_PREL;COEF_CONS
1;45.9786;-72.1102;145;335;14695.9;17;10;3;0;1;SOUTERRAIN;0;0;;0.9
2;45.9809;-72.1097;75;163;62951.1;17;10;3;0;1;SOUTERRAIN;0;0;;0.9
3;46.0766;-72.2816;2;5;702.847;17;117.62;39.21;0;1;SOUTERRAIN;0;0;;0.9
4;46.0665;-72.0343;19;40;5010.96;17;30;8;0;1;SOUTERRAIN;0;0;;0.9
5;46.0454;-72.1854;67;144;7139.08;17;20;6;0;1;SOUTERRAIN;0;0;;0.9
6;46.046;-72.1854;66;142;2210.78;17;20;6;0;1;SOUTERRAIN;0;0;;0.9
7;45.9791;-72.1118;145;335;6410.18;17;10;3;0;1;SOUTERRAIN;0;0;;0.9
8;45.9833;-72.1161;145;335;155369;17;1.25;0.38;0;1;SOUTERRAIN;0;0;;0.9
9;46.0907;-71.9033;24;51;327788;17;27.5;13.75;0;1;SOUTERRAIN;1;0;;0.9
10;46.0643;-72.0337;19;40;52268.2;17;5.88;1.7;7.43;1;SOUTERRAIN;0;0;;0.9
11;46.0637;-72.0303;19;40;165.084;17;1.19;0.59;77.62;1;SOUTERRAIN;0;0;;0.9
12;46.1994;-71.8066;36;76;0.528754;17;20;10;0;1;SOUTERRAIN;0;0;;0.9
13;46.0766;-71.9839;21;45;12687.8;17;20;6;0;1;SOUTERRAIN;0;0;;0.9
14;46.1992;-71.8059;36;76;547.475;17;40;20;0;1;SOUTERRAIN;0;0;;0.9
15;46.0732;-71.9825;22;47;79065.4;17;1;0.3;0;1;SOUTERRAIN;1;0;;0.9
16;45.8985;-71.9228;154;355;6958.29;17;70;14;80;1;SOUTERRAIN;0;0;;0.9
17;45.8981;-71.9237;154;355;2463.18;17;70;14;80;1;SOUTERRAIN;0;0;;0.9
18;45.8994;-71.9245;154;355;2181.41;17;40;20;80;1;SOUTERRAIN;0;0;;0.9
19;45.8995;-71.9248;154;355;2113.22;17;40;20;80;1;SOUTERRAIN;0;0;;0.9
20;45.8998;-71.9251;154;355;1380.55;17;40;20;80;1;SOUTERRAIN;0;0;;0.9
21;46.0688;-72.0574;18;38;8319.12;17;351;0;0;1;SOUTERRAIN;0;0;;0.9
22;46.0861;-71.9188;24;51;33495.3;17;14.64;7.32;0;1;SOUTERRAIN;1;0;;0.9
23;46.0612;-72.3157;1;1;44381.1;17;38.18;12.73;0;1;SOUTERRAIN;0;0;;0.9
24;46.1508;-71.8991;31;66;5521.01;17;3;1.5;0;1;SOUTERRAIN;0;0;;0.9
25;46.0624;-72.3087;1;2;17.3179;17;120;40;0;1;SOUTERRAIN;0;0;;0.9
26;46.0761;-72.279;2;5;290.26;17;118.82;39.61;0;1;SOUTERRAIN;0;0;;0.9
27;46.0759;-71.9187;80;174;50011.1;17;14;7;0;1;SOUTERRAIN;0;1;X2015552-1;0.9
28;46.0745;-71.9229;80;174;73167.2;17;30.48;15.24;0;1;SOUTERRAIN;1;1;X2015552-1;0.9
29;46.0749;-71.9211;80;174;96629.2;17;31.09;14.39;4.4;1;SOUTERRAIN;1;1;X2015552-1;0.9
30;46.082;-71.9174;80;174;42466.1;17;30.8;15.4;0;1;SOUTERRAIN;1;0;;0.9
31;46.0819;-71.9189;80;174;67788.1;17;26.88;11.96;0;1;SOUTERRAIN;0;1;X2015552-1;0.9
32;46.0778;-71.9175;80;174;52443.1;17;17.2;8.6;0;1;SOUTERRAIN;0;1;X2015552-1;0.9
33;46.0705;-72.2901;2;5;1446.44;17;117.84;39.28;0;1;SOUTERRAIN;0;0;;0.9
34;46.0634;-72.0571;18;38;792.339;17;350.12;0;0;1;SOUTERRAIN;0;0;;0.9
35;45.9611;-71.9811;144;331;42483.1;17;20;10;0;1;SOUTERRAIN;0;0;;0.9
36;46.0394;-72.2887;3;6;93356.7;17;120;40;0;1;SOUTERRAIN;0;0;;0.9
37;46.0436;-72.2923;3;6;57827.7;17;120;40;0;1;SOUTERRAIN;0;0;;0.9
38;46.0418;-72.2901;3;6;153591;17;120;40;0;1;SOUTERRAIN;0;0;;0.9
39;46.0357;-72.2925;3;6;57554.6;17;120;40;0;1;SOUTERRAIN;0;0;;0.9
40;46.0272;-72.309;3;6;139744;17;69.43;23.14;0;1;SOUTERRAIN;0;0;;0.9
41;46.0691;-72.2898;2;5;1913.8;17;117.73;39.24;0;1;SOUTERRAIN;0;0;;0.9
42;46.0749;-72.2783;2;5;437.462;17;118.82;39.61;0;1;SOUTERRAIN;0;0;;0.9
43;46.0473;-72.323;1;1;192.058;17;120;40;0;1;SOUTERRAIN;0;0;;0.9
44;46.043;-72.1823;67;145;99183.9;17;14;7;0;1;SOUTERRAIN;0;0;;0.9
45;46.0441;-72.1819;66;143;30094.5;17;5.2;2.6;10.4;1;SOUTERRAIN;0;0;;0.9
46;46.0513;-72.3154;1;1;69785.6;17;34.8;11.6;0;1;SOUTERRAIN;0;0;;0.9
47;46.0627;-72.0316;19;40;212206;17;5.88;1.7;77.62;1;SOUTERRAIN;1;0;;0.9
48;46.0753;-72.2777;2;5;0.012136;17;118.81;39.6;0;1;SOUTERRAIN;0;0;;0.9
49;46.051;-72.2963;3;7;178415;17;58.66;19.55;0;1;SOUTERRAIN;0;0;;0.9
50;46.0532;-72.296;2;3;56681.5;17;98.95;32.98;0;1;SOUTERRAIN;0;0;;0.9
51;46.1992;-71.8058;36;76;13598.5;17;40;20;0;1;SOUTERRAIN;0;0;;0.9
52;46.0676;-72.2864;2;5;32433.4;17;112.5;37.5;0;1;SOUTERRAIN;0;0;;0.9
53;46.0725;-72.2936;2;5;58.6112;17;117.8;39.27;0;1;SOUTERRAIN;0;0;;0.9
54;46.0547;-72.3185;1;1;162821;17;120;40;0;1;SOUTERRAIN;0;0;;0.9
55;46.0716;-72.0569;19;40;2620.75;17;91.26;0;0;1;SOUTERRAIN;0;0;;0.9
56;46.0461;-72.3019;3;6;28938.8;17;120;40;0;1;SOUTERRAIN;1;0;;0.9
57;46.043;-72.3044;3;6;183892;17;120;40;0;1;SOUTERRAIN;1;0;;0.9
58;46.0468;-72.2993;3;6;7464.04;17;120;40;0;1;SOUTERRAIN;0;0;;0.9
59;46.0476;-72.3006;3;6;6688.45;17;120;40;0;1;SOUTERRAIN;0;0;;0.9
60;46.0737;-71.9244;80;174;60986.7;17;22.8;11.4;0;1;SOUTERRAIN;1;1;X2015552-1;0.9
61;46.0895;-71.9187;24;51;46726.3;17;40;20;0;1;SOUTERRAIN;1;0;;0.9
62;46.0446;-72.3103;1;1;186740;17;120;40;0;1;SOUTERRAIN;0;0;;0.9
63;46.0707;-72.2906;2;5;1520.02;17;117.84;39.28;0;1;SOUTERRAIN;0;0;;0.9
64;46.0746;-72.2787;2;5;1.47263;17;118.81;39.6;0;1;SOUTERRAIN;0;0;;0.9
65;46.0655;-72.0336;19;40;9.6385;17;30;6;40;1;SOUTERRAIN;0;0;;0.9
66;46.0629;-72.305;1;2;9124.96;17;87.28;29.09;0;1;SOUTERRAIN;0;0;;0.9
67;46.0705;-72.2906;2;5;6318.58;17;117.84;39.28;0;1;SOUTERRAIN;0;0;;0.9
68;46.0704;-72.2905;2;5;708.707;17;117.8;39.27;0;1;SOUTERRAIN;0;0;;0.9
69;46.0642;-72.0578;18;38;6.64046;17;346.61;0;0;1;SOUTERRAIN;0;0;;0.9
70;46.0653;-72.0562;18;38;15771.5;17;351;0;0;1;SOUTERRAIN;0;0;;0.9
71;46.067;-72.0588;18;38;29390.9;17;351;0;0;1;SOUTERRAIN;0;0;;0.9
72;46.0719;-72.0578;19;40;85.8894;17;351;0;0;1;SOUTERRAIN;0;0;;0.9
73;46.0709;-72.0578;18;38;87.8214;17;193.05;0;0;1;SOUTERRAIN;0;0;;0.9
74;46.0483;-72.3193;1;1;203625;17;120;40;0;1;SOUTERRAIN;0;0;;0.9
75;46.0647;-72.0329;19;40;23785;17;30;6;77.62;1;SOUTERRAIN;0;0;;0.9
76;46.0626;-72.3058;1;2;45952.4;17;120;40;0;1;SOUTERRAIN;0;0;;0.9
77;46.0704;-72.2904;2;5;101568;17;117.84;39.28;0;1;SOUTERRAIN;0;0;;0.9
78;46.0646;-72.0572;18;38;24471.6;17;350.12;0;0;1;SOUTERRAIN;0;0;;0.9
79;46.0669;-72.0572;18;38;16335.3;17;349.25;0;0;1;SOUTERRAIN;0;0;;0.9
80;46.0816;-72.213;7;16;58363.1;17;843.5;42.18;0;1;SOUTERRAIN;0;0;;0.9
81;46.0628;-72.0589;18;38;25044.6;17;284.31;0;0;1;SOUTERRAIN;0;0;;0.9
82;46.0721;-72.0573;19;40;9491.43;17;351;0;0;1;SOUTERRAIN;0;0;;0.9
83;46.0707;-72.0574;18;38;10566.2;17;193.05;0;0;1;SOUTERRAIN;0;0;;0.9
84;46.0649;-72.0589;18;38;30390.8;17;345.74;0;0;1;SOUTERRAIN;0;0;;0.9
85;46.0629;-72.0348;19;40;8366.33;17;351;1.7;7.43;1;SOUTERRAIN;0;0;;0.9
86;46.0626;-72.034;19;40;6377.56;17;351;1.7;7.43;1;SOUTERRAIN;0;0;;0.9
87;46.0626;-72.0353;19;40;12358.7;17;351;1.7;77.62;1;SOUTERRAIN;0;0;;0.9
88;46.0614;-72.0338;19;40;39396.3;17;351;1.7;77.62;1;SOUTERRAIN;1;0;;0.9
89;46.0604;-72.0351;19;40;25556.6;17;351;1.7;77.62;1;SOUTERRAIN;0;0;;0.9
