#SITE;#SITE GPE;#SITE PRELEVEMENT;LAT(d);LONG(d);ID TRONCON;ID UHRH;SOURCE;CRITERE;COEF_CONSO;TYPE CHEPTEL;NOMBRE TETE;CONSOMMATION m3/an;CONSOMMATION TOTAL m3/an;NOM DU LIEU;NOM DE LEXPLOITANT;MUNICIPALITE
1;-1;-1;45.84225;-71.70415;111;250;souterain;1;0.8;Genisses laitieres,Taureaux laitiers,Taures laitieres,Vaches laitieres,;20.000000,2.000000,20.000000,90.000000,;170.100000,29.986000,232.300000,3566.700000,;3999.09;Ferme Stelica inc., bovin laitier;Ferme Stelica inc.;Saint-Adrien
2;-1;-1;45.84225;-71.70415;111;250;souterain;1;0.8;Chevres laitieres,Jument et sa progeniture non sevree,;30.000000,1.000000,;173.760000,,;173.76;Ferme Stelica inc., bovin laitier;Ferme Stelica inc.;Saint-Adrien
3;-1;-1;45.84602;-71.7001;111;250;souterain;1;0.8;Porcs a engraissement,;1450.000000,;3704.750000,;3704.75;Mario Cote inc., suide, lot 14C;Mario Cote inc.;Saint-Adrien
4;-1;-1;45.94931;-71.62123;107;241;souterain;1;0.8;Cochettes,Porcs a engraissement,Porcelets sevres,Porcelets non sevres,Verrats,;50.000000,2770.000000,1090.000000,315.000000,2.000000,;310.250000,7077.350000,994.080000,287.280000,10.950000,;8679.91;Ferme Faro inc.;Ferme Faro inc.;Saint-Fortunat
5;-1;-1;45.96313;-71.58103;62;132;souterain;1;0.8;Genisses laitieres,Taures laitieres,Vaches laitieres,Vaches laitieres,;12.000000,12.000000,32.000000,12.000000,;102.060000,139.380000,1268.160000,475.560000,;1985.16;Karyne Desharnais;Desharnais,Karyne;Saint-Fortunat
6;-1;-1;45.95521;-71.56589;62;132;souterain;1;0.8;Taureau,Vaches de boucherie,;2.000000,30.000000,;,535.140000,;535.14;Real Marcoux;Marcoux,Real;Saint-Fortunat
7;-1;-1;45.9894;-71.63149;60;127;souterain;1;0.8;Genisses laitieres,Taures laitieres,Vaches laitieres,;15.000000,20.000000,50.000000,;127.575000,232.300000,1981.500000,;2341.38;Ferme Lylaire inc.;Ferme Lylaire inc.;Saint-Fortunat
8;-1;-1;45.97961;-71.61409;61;129;souterain;1;0.8;Genisses laitieres,Taures laitieres,Vaches laitieres,;13.000000,7.000000,37.000000,;110.565000,81.305000,1466.310000,;1658.18;Ferme Damien Bedard inc.;Ferme Damien Bedard inc.;Saint-Fortunat
9;-1;-1;45.96795;-71.62984;59;126;souterain;1;0.8;Porcelets non sevres,;400.000000,;364.800000,;364.8;Mario Cote inc., suide, lot 6 293 440;Mario Cote inc.;Saint-Fortunat
10;-1;-1;45.95801;-71.62009;59;126;souterain;1;0.8;Porcs a engraissement,;2100.000000,;5365.500000,;5365.5;Ferme Denis Fortier inc., suide, lot 8C;Ferme Denis Fortier inc.;Saint-Fortunat
11;-1;-1;45.96061;-71.57613;62;132;souterain;1;0.8;Genisses laitieres,Taures laitieres,Vaches laitieres,;24.000000,12.000000,77.000000,;204.120000,139.380000,3051.510000,;3395.01;Ferme F.M. Carrel inc.;Ferme F.M. Carrel inc.;Saint-Fortunat
12;-1;-1;45.96553;-71.58551;62;132;souterain;1;0.8;Genisses laitieres,Taures laitieres,Vaches laitieres,;15.000000,15.000000,80.000000,;127.575000,174.225000,3170.400000,;3472.2;Ferme Gebo (2011) inc.;Ferme Gebo (2011) inc.;Saint-Fortunat
13;-1;-1;45.95445;-71.562;62;132;souterain;1;0.8;Genisses laitieres,Vaches laitieres,;15.000000,75.000000,;127.575000,2972.250000,;3099.82;Ferme Clauleine enr.;Ferme Clauleine enr;Saint-Fortunat
14;-1;-1;45.94747;-71.58293;62;131;souterain;1;0.8;Genisses laitieres,Taures laitieres,Vaches laitieres,;20.000000,14.000000,55.000000,;170.100000,162.610000,2179.650000,;2512.36;Jacques Larrivee et Louise Garneau;Ferme Gargouille inc.;Saint-Fortunat
15;-1;-1;45.94917;-71.6343;105;236;souterain;1;0.8;Genisses laitieres,Taures laitieres,Vaches laitieres,;22.000000,6.000000,44.000000,;187.110000,69.690000,1743.720000,;2000.52;Ferme Haut Cote inc.;Ferme Haut Cote inc.;Saint-Fortunat
16;-1;-1;45.96576;-71.6326;59;126;souterain;1;0.8;Genisses de boucherie,Genisses laitieres,;1.000000,30.000000,;8.296000,255.150000,;263.446;9351-1293 Quebec inc.;9351-1293 Quebec inc.;Saint-Fortunat
17;-1;-1;45.95689;-71.61684;59;126;souterain;1;0.8;Beliers,Agneaux,;1.000000,5.000000,;2.920000,14.600000,;17.52;Ferme Denis Fortier inc., lot 9B;Ferme Denis Fortier inc.;Saint-Fortunat
18;-1;-1;45.97254;-71.57255;62;132;souterain;1;0.8;Bisons,;25.000000,;410.625000,;410.625;J.J. Croteau inc., bovin boucherie;J.J. Croteau inc.;Saint-Fortunat
19;-1;-1;46.14764;-71.87613;31;66;souterain;1;0.8;Porcs a engraissement,Taureaux de boucherie,Taures de boucherie,Vaches de boucherie,;75.000000,10.000000,75.000000,350.000000,;191.625000,149.930000,1086.225000,6243.300000,;7671.08;Les Entreprises Claudale inc., bovin boucherie;Les entreprises Claudale inc.;Princeville
20;-1;-1;46.15853;-71.79373;39;82;souterain;1;0.8;Genisses laitieres,Taureaux laitiers,Taures laitieres,Vaches laitieres,Vaches laitieres,;75.000000,1.000000,30.000000,24.000000,181.000000,;637.875000,14.993000,348.450000,951.120000,7173.030000,;9125.47;Ferme Baril & Frere inc., lot 396;Ferme Baril & Frere inc.;Plessisville
21;-1;-1;46.09952;-71.86376;80;173;souterain;1;0.8;Vaches de boucherie,;28.000000,;499.464000,;499.464;Ferme d'elevage des Tournesols inc.;Ferme d'elevage des Tournesols inc.;Saint-Norbert-d'Arthabaska
22;-1;-1;45.98941;-71.85294;86;190;souterain;1;0.8;Bovins de finition,Bovins de semi finition,Bovins de semi finition,Poules pour oeufs incubation,Vaches de boucherie,;200.000000,225.000000,200.000000,14000.000000,55.000000,;1126.200000,916.425000,814.600000,1022.000000,981.090000,;4860.32;Ferme G.M.H. inc., bovin boucherie et volaille;Ferme G.M.H. inc.;Chesterville
23;-1;-1;46.03119;-72.00253;76;165;souterain;1;0.8;Genisses laitieres,Genisses laitieres,Genisses laitieres,Taures laitieres,Vaches laitieres,Vaches laitieres,Vaches laitieres,;15.000000,28.000000,27.000000,25.000000,45.000000,95.000000,15.000000,;127.575000,238.140000,229.635000,290.375000,1783.350000,3764.850000,594.450000,;7028.38;Ferme Deslacs ltee;Ferme Deslacs ltee;Victoriaville
24;-1;-1;45.93713;-71.83928;125;288;souterain;1;0.8;Genisses laitieres,Taureaux laitiers,Taures laitieres,Vaches laitieres,;43.000000,1.000000,45.000000,90.000000,;365.715000,14.993000,522.675000,3566.700000,;4470.08;Ferme Rodovanel inc., bovin laitier, lot 657;Ferme Rodovanel inc.;Chesterville
25;-1;-1;46.20051;-71.81233;36;76;souterain;1;0.8;Genisses laitieres,Genisses laitieres,Taures laitieres,Vaches laitieres,Vaches laitieres,;20.000000,75.000000,68.000000,35.000000,165.000000,;170.100000,637.875000,789.820000,1387.050000,6538.950000,;9523.8;Ferme J.G. Trepanier et Fils inc.;Ferme J.G. Trepanier et Fils inc.;Princeville
26;-1;-1;45.97069;-72.07;145;335;souterain;1;0.8;Vaches laitieres,;81.000000,;3210.030000,;3210.03;FermeS.Y.B. inc.;Ferme S.Y.B. inc.;Saint-Albert
27;-1;-1;46.05562;-72.21822;5;10;souterain;1;0.8;Porcs a engraissement,;900.000000,;2299.500000,;2299.5;Meunerie Ducharme inc., suide, engraissement, lot 5 445 823;Meunerie Ducharme inc.;Saint-Samuel
28;-1;-1;46.05562;-72.21822;5;10;souterain;1;0.8;Porcs a engraissement,;800.000000,;2044.000000,;2044;-;Ferme Mafran inc.;-
29;-1;-1;46.09331;-71.96817;23;49;souterain;1;0.8;Vaches de boucherie,;64.000000,;1141.632000,;1141.63;Ferme Sylvain Dubois inc., bovin boucherie, lot 24F;Ferme Sylvain Dubois inc.;Victoriaville
30;-1;-1;46.05859;-72.08468;17;36;souterain;1;0.8;Vaches de boucherie,;28.000000,;499.464000,;499.464;Jeanine Hebert;Hebert,Jeanine;Saint-Valere
31;-1;-1;45.94255;-71.88105;133;306;souterain;1;0.8;Porcs a engraissement,Taures laitieres,Taures laitieres,Vaches laitieres,Vaches laitieres,Vaches laitieres,Vaches laitieres,;8.000000,6.000000,16.000000,7.000000,36.000000,74.000000,13.000000,;20.440000,69.690000,185.840000,277.410000,1426.680000,2932.620000,515.190000,;5427.87;Les Fermes Perler inc., bovin laitier, principal;Les Fermes Perler inc.;Tingwick
32;-1;-1;45.8921;-72.03065;149;343;souterain;1;0.8;Beliers,Agneaux,;3.000000,200.000000,;8.760000,584.000000,;592.76;Bergerie des trois R inc.;Bergerie des Trois R. inc.;Warwick
33;-1;-1;46.12071;-71.88956;24;51;souterain;1;0.8;Genisses laitieres,Taures laitieres,Vaches laitieres,;39.000000,28.000000,80.000000,;331.695000,325.220000,3170.400000,;3827.32;Ferme Fleche D'Or S.E.N.C.;Ferme Fleche D'Or S.E.N.C.;Princeville
34;-1;-1;46.1488;-71.90095;31;66;souterain;1;0.8;Genisses laitieres,Taures laitieres,Vaches laitieres,;13.000000,12.000000,45.000000,;110.565000,139.380000,1783.350000,;2033.3;Ferme Ligay inc.;Ferme Ligay inc.;Princeville
35;-1;-1;45.89787;-71.92694;154;355;souterain;1;0.8;Genisses laitieres,Taures laitieres,;100.000000,275.000000,;850.500000,3194.125000,;4044.62;Ferme Roulante 1999 inc.;Ferme Roulante enr.;Tingwick
36;-1;-1;45.89787;-71.92694;154;355;souterain;1;0.8;Genisses laitieres,Taures laitieres,Vaches laitieres,;100.000000,200.000000,40.000000,;850.500000,2323.000000,1585.200000,;4758.7;-;Ferme Roulante 1999 inc.;-
37;-1;-1;45.85006;-71.68904;111;250;souterain;1;0.8;Beliers,Agneaux,;10.000000,200.000000,;29.200000,584.000000,;613.2;Maxime Larrivee;Larrivee,Maxime;Ham-Nord
