#SITE GPE;LAT(d);LONG(d);ID TRONCON;ID UHRH;SOURCE;CRITERE;COEF_CONSO;# INTERVENANT; NOM INTERVENANT; Nom legal du lieu ou personne physique; Code SCIAN; ANNEE; NbJ M1; NbJ M2; NbJ M3; NbJ M4; NbJ M5; NbJ M6; NbJ M7; NbJ M8; NbJ M9; NbJ M10; NbJ M11; NbJ M12; VOL M1; VOL M2; VOL M3; VOL M4; VOL M5; VOL M6; VOL M7; VOL M8; VOL M9; VOL M10; VOL M11; VOL M12; CONS M1; CONS M2; CONS M3; CONS M4; CONS M5; CONS M6; CONS M7; CONS M8; CONS M9; CONS M10; CONS M11; CONS M12
1;45.91638;-71.6384;105;234;Souterrain;1;-1;13431002;CANTON DE HAM-NORD;Station de purification Ham-Nord (post.chl.);22131;2009;0;0;0;0;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;816600;0;0;0;0;0;0;0;0;0;0;0;0
1;45.91638;-71.6384;105;234;Souterrain;1;-1;13431002;CANTON DE HAM-NORD;Station de purification Ham-Nord (post.chl.);22131;2010;30;28;31;30;31;30;31;31;30;31;30;31;2688000;2487000;2445000;2237000;2144000;2553000;2650000;2472000;2500000;2671000;2412000;2834000;0;0;0;0;0;0;0;0;0;0;0;0
1;45.91638;-71.6384;105;234;Souterrain;1;-1;13431002;CANTON DE HAM-NORD;Station de purification Ham-Nord (post.chl.);22131;2011;31;28;31;30;31;30;31;31;30;31;30;31;2877000;2563000;2746000;2646000;2745000;2568000;2952000;2255000;2405000;2836000;2412000;2455000;0;0;0;0;0;0;0;0;0;0;0;0
1;45.91638;-71.6384;105;234;Souterrain;1;-1;13431002;CANTON DE HAM-NORD;Station de purification Ham-Nord (post.chl.);22131;2012;31;29;31;30;31;30;31;31;30;31;30;31;2532000;2593000;2525000;2653000;2648000;2530000;2982000;1972000;2263000;2557000;1823000;2333000;0;0;0;0;0;0;0;0;0;0;0;0
1;45.91638;-71.6384;105;234;Souterrain;1;-1;13431002;CANTON DE HAM-NORD;Station de purification Ham-Nord (post.chl.);22131;2013;31;28;30;30;31;30;31;30;30;31;30;31;1057000;2849000;3165000;2532000;1134000;2873000;2923000;2244000;2683000;2409000;2657000;2140000;1057000;2849000;3165000;2532000;1134000;2873000;2923000;2244000;2683000;2409000;2657000;2140000
1;45.91638;-71.6384;105;234;Souterrain;1;-1;13431002;CANTON DE HAM-NORD;Station de purification Ham-Nord (post.chl.);22131;2014;31;28;31;30;31;30;31;31;30;31;30;31;3062000;2697000;2887000;2610000;2337000;2190000;2602000;2474000;2350000;2180000;2502000;2582000;3062000;2697000;2887000;2610000;2337000;2190000;2602000;2474000;2350000;2180000;2502000;2582000
1;45.91638;-71.6384;105;234;Souterrain;1;-1;13431002;CANTON DE HAM-NORD;Station de purification Ham-Nord (post.chl.);22131;2015;31;28;31;30;31;30;31;31;30;31;30;31;2515000;2223000;2712000;2592000;1948000;2561000;2623000;2178000;2462000;2543000;2389000;2607000;2515000;2223000;2712000;2592000;1948000;2561000;2623000;2178000;2462000;2543000;2389000;2607000
1;45.91638;-71.6384;105;234;Souterrain;1;-1;13431002;CANTON DE HAM-NORD;Station de purification Ham-Nord (post.chl.);22131;2016;31;29;31;30;31;30;31;31;30;31;30;31;2050000;2467000;2618000;2771000;2186000;2201000;2362000;2430000;1463000;2191000;1869000;2388000;2050000;2467000;2618000;2771000;2186000;2201000;2362000;2430000;1463000;2191000;1869000;2388000
1;45.91638;-71.6384;105;234;Souterrain;1;-1;13431002;CANTON DE HAM-NORD;Station de purification Ham-Nord (post.chl.);22131;2017;31;28;31;30;31;30;31;31;30;31;30;31;2112000;2467000;2351000;715000;2186000;2581000;2753000;2650000;2142000;2463000;2641000;2586000;2112000;2467000;2351000;715000;2186000;2581000;2753000;2650000;2142000;2463000;2641000;2586000
1;45.91638;-71.6384;105;234;Souterrain;1;-1;13431002;CANTON DE HAM-NORD;Station de purification Ham-Nord (post.chl.);22131;2018;31;28;31;30;31;30;31;31;30;31;30;31;2450000;2092000;2453000;2071000;2450000;2488000;2489000;2704000;2427000;1864000;1750000;2251000;2450000;2092000;2453000;2071000;2450000;2488000;2489000;2704000;2427000;1864000;1750000;2251000
1;45.91638;-71.6384;105;234;Souterrain;1;-1;13431002;CANTON DE HAM-NORD;Station de purification Ham-Nord (post.chl.);22131;2019;31;28;30;30;31;30;31;31;30;31;30;31;2268000;1980000;1966000;2285000;2539000;2145000;2262000;2068000;2042000;1488000;1769000;2139000;2268000;1980000;1966000;2285000;2539000;2145000;2262000;2068000;2042000;1488000;1769000;2139000
1;45.91638;-71.6384;105;234;Souterrain;1;-1;13431002;CANTON DE HAM-NORD;Station de purification Ham-Nord (post.chl.);22131;2020;31;28;31;30;31;30;31;31;30;31;30;31;3742000;2440000;2196000;1862000;2596000;2536000;2645000;2534000;2479000;2517000;2445000;2583000;3742000;2440000;2196000;1862000;2596000;2536000;2645000;2534000;2479000;2517000;2445000;2583000
1;45.91638;-71.6384;105;234;Souterrain;1;-1;13431002;CANTON DE HAM-NORD;Station de purification Ham-Nord (post.chl.);22131;2021;31;28;31;30;31;30;31;31;30;31;30;31;2180000;2213000;2399000;2385000;2438000;2466000;2523000;2656000;2521000;2594000;2265000;1450000;2180000;2213000;2399000;2385000;2438000;2466000;2523000;2656000;2521000;2594000;2265000;1450000
1;45.91638;-71.6384;105;234;Souterrain;1;-1;13431002;CANTON DE HAM-NORD;Station de purification Ham-Nord (post.chl.);22131;2022;31;28;31;30;31;30;31;31;30;31;30;31;2258000;1976000;1965000;412000;2383000;1745000;2041000;2555000;1533000;2214000;2334000;7511000;2258000;1976000;1965000;412000;2383000;1745000;2041000;2555000;1533000;2214000;2334000;7511000
1;45.91638;-71.6384;105;234;Souterrain;1;-1;13431002;CANTON DE HAM-NORD;Station de purification Ham-Nord (post.chl.);22131;2023;31;28;31;30;31;30;31;31;30;31;30;31;8192000;2522000;2511000;1222000;2561000;2544000;1896000;8192000;1179000;1602000;1399000;8192000;8192000;2522000;2511000;1222000;2561000;2544000;1896000;8192000;1179000;1602000;1399000;8192000
1;45.91638;-71.6384;105;234;Souterrain;1;-1;13431002;CANTON DE HAM-NORD;Station de purification Ham-Nord (post.chl.);22131;2024;31;28;31;30;31;30;31;31;30;31;30;31;1000;1000;1000;1000000;2184000;2656000;2688000;1701000;1957000;2463000;1862000;1489000;1000;1000;1000;1000000;2184000;2656000;2688000;1701000;1957000;2463000;1862000;1489000
1;45.91638;-71.6384;105;234;Souterrain;1;-1;13431002;CANTON DE HAM-NORD;Station de purification Ham-Nord (post.chl.);22131;MOY;31;28;31;30;31;30;31;31;30;31;30;31;2665600;2238000;2329333;1999533;2298600;2442467;2559400;2739000;2160400;2306133;2168600;2897288;2657250;2160583;2268667;1871417;2245167;2415500;2483917;2865500;2103167;2210667;2156833;3159833
2;45.91516;-71.63236;106;238;Souterrain;1;-1;13431002;CANTON DE HAM-NORD;Station de purification Ham-Nord (post.chl.);22131;2009;0;0;0;0;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;816600;0;0;0;0;0;0;0;0;0;0;0;0
2;45.91516;-71.63236;106;238;Souterrain;1;-1;13431002;CANTON DE HAM-NORD;Station de purification Ham-Nord (post.chl.);22131;2010;19;14;22;30;31;26;14;31;30;7;12;7;87000;66000;103000;269000;323000;198000;200000;177000;130000;100000;70000;22000;0;0;0;0;0;0;0;0;0;0;0;0
