#SITE;LAT(d);LONG(d);IDTRONCON;IDUHRH;CLE_COMPOS;DESC_COMPO;nom_lieu;CRITERE;SOURCE;TYPE;PRELEV (l/j);CODE SCIAN;COEF_CONS;CONTINUE;MOIS D;MOIS FIN;SITE_GPE;SITE_GPE_LAT;SITE_GPE_LONG;SITE_GPE_D;SITE_GPE_F;SITE_ELEVAGES;SITE_ELEVAGES_LAT;SITE_ELEVAGES_LONG;SITE_CULTURES;CRITERE_CONSOMMATION
1;46.027553;-72.115994;16;34;X0008860-2;Source Saint-Elphege No approvisionnement:12856;Station de purification Saint-Elphege (post.chl.);1;SOUTERRAIN;MUNICIPAL;75000;221;0.1;1;1;12;Station de purification Saint-Elphege (post.chl.);46.02755;-72.11599;2013;2019;;;;;
2;45.965805;-71.598833;62;131;X0009138-1;St-Fortunat-Carrier-P1-PSU No approvisionnement:15990;Installation de production Saint-Fortunat;0;SOUTERRAIN;MUNICIPAL;0;221;0.1;1;1;12;;;;;;;;;;
3;45.962614;-71.60597;62;131;X0009138-2;St-Fortunat-Carrier P2-PSU No approvisionnement:16022;Installation de production Saint-Fortunat;0;SOUTERRAIN;MUNICIPAL;0;221;0.1;1;1;12;;;;;;;;;;
4;45.967722;-71.606252;62;131;X0009138-3;St-Fortunat-Carrier P3-PSU No approvisionnement:16055;Installation de production Saint-Fortunat;0;SOUTERRAIN;MUNICIPAL;0;221;0.1;1;1;12;;;;;;;;;;
5;45.969611;-71.603477;61;129;X0009138-4;St-Fortunat-Carrier P1-PSU No approvisionnement:11056;Installation de production Saint-Fortunat;0;SOUTERRAIN;MUNICIPAL;0;221;0.1;1;1;12;;;;;;;;;;
6;45.96735;-71.59709;62;131;X0009138-5;SF/PE-02-09;Installation de production Saint-Fortunat;1;SOUTERRAIN;MUNICIPAL;33910;221;0.1;1;1;12;;;;;;;;;;
7;45.912457;-71.727805;99;221;X0009169-1;Puits Notre-Dame-de-Ham No approvisionnement:4556;Station de purification Notre-Dame-de-Ham (aut.trait.);1;SOUTERRAIN;MUNICIPAL;16356;221;0.1;1;1;12;;;;;;;;;;
8;45.912718;-71.728714;99;221;X0009169-2;Sources Notre-Dame-de-Ham No approvisionnement:4564;Station de purification Notre-Dame-de-Ham (aut.trait.);1;SOUTERRAIN;MUNICIPAL;16356;221;0.1;1;1;12;;;;;;;;;;
9;45.91451;-71.63159;106;238;X0009171-10;YP5;Station de purification Ham-Nord (post.chl.);1;SOUTERRAIN;MUNICIPAL;12977;221;1;1;1;12;Station de purification Ham-Nord (post.chl.);45.91451;-71.63159;2009;2019;;;;;
10;45.91337;-71.63305;106;238;X0009171-11;YP6 Inactif;Station de purification Ham-Nord (post.chl.);0;SOUTERRAIN;MUNICIPAL;0;221;1;1;1;12;Station de purification Ham-Nord (post.chl.);45.91337;-71.63305;2009;2010;;;;;
11;45.91242;-71.63361;106;238;X0009171-12;YP10;Station de purification Ham-Nord (post.chl.);1;SOUTERRAIN;MUNICIPAL;12977;221;1;1;1;12;Station de purification Ham-Nord (post.chl.);45.91242;-71.63361;2009;2019;;;;;
12;45.90899;-71.64828;105;234;X0009171-2;Puits 1 Inactif;Station de purification Ham-Nord (post.chl.);0;SOUTERRAIN;MUNICIPAL;0;221;1;1;1;12;;;;;;;;;;
13;45.913335;-71.652157;105;235;X0009171-3;Puits de la mine Inactif;Station de purification Ham-Nord (post.chl.);0;SOUTERRAIN;MUNICIPAL;0;221;1;1;1;12;;;;;;;;;;
14;45.916379;-71.638401;105;234;X0009171-4;JP2 No approvisionnement:64477;Station de purification Ham-Nord (post.chl.);1;SOUTERRAIN;MUNICIPAL;65579;221;1;1;1;12;Station de purification Ham-Nord (post.chl.);45.91638;-71.6384;2009;2019;;;;;
15;45.916656;-71.633185;105;234;X0009171-5;JP1 Inactif;Station de purification Ham-Nord (post.chl.);0;SOUTERRAIN;MUNICIPAL;0;221;1;1;1;12;;;;;;;;;;
16;45.91635;-71.63777;105;234;X0009171-6;PUIT Inactif;Station de purification Ham-Nord (post.chl.);0;SOUTERRAIN;MUNICIPAL;0;221;1;1;1;12;;;;;;;;;;
17;45.91516;-71.63236;106;238;X0009171-7;YP2;Station de purification Ham-Nord (post.chl.);1;SOUTERRAIN;MUNICIPAL;12977;221;1;1;1;12;Station de purification Ham-Nord (post.chl.);45.91516;-71.63236;2009;2019;;;;;
18;45.91542;-71.63271;105;234;X0009171-8;YP3;Station de purification Ham-Nord (post.chl.);1;SOUTERRAIN;MUNICIPAL;12977;221;1;1;1;12;Station de purification Ham-Nord (post.chl.);45.91542;-71.63271;2009;2019;;;;;
19;45.91605;-71.63303;105;234;X0009171-9;YP4;Station de purification Ham-Nord (post.chl.);1;SOUTERRAIN;MUNICIPAL;12977;221;1;1;1;12;Station de purification Ham-Nord (post.chl.);45.91605;-71.63303;2009;2019;;;;;
20;45.860738;-71.535164;120;271;X0009175-3;Source P-02 Sts-Martyrs Canadiens No approvisionnement:4994;Installation de production Saints-Marthyrs-Canadiens;1;SOUTERRAIN;MUNICIPAL;3623;221;1;1;1;12;;;;;;;;;;
21;45.860661;-71.536517;120;271;X0009175-4;P-003;Installation de production Saints-Marthyrs-Canadiens;1;SOUTERRAIN;MUNICIPAL;3623;221;1;1;1;12;;;;;;;;;;
22;46.100861;-71.807306;80;173;X0009316-2;Puits 2  No approvisionnement:3939;Station de purification Saint-Norbert-d'Arthabaska;1;SOUTERRAIN;MUNICIPAL;135270;221;0.1;1;1;12;Station de purification Saint-Norbert-d'Arthabaska;46.10086;-71.80731;2009;2019;;;;;
23;46.100917;-71.805528;80;173;X0009316-3;Puits 1 No LCH : 68809;Station de purification Saint-Norbert-d'Arthabaska;1;SOUTERRAIN;MUNICIPAL;26768;221;0.1;1;1;12;Station de purification Saint-Norbert-d'Arthabaska;46.10092;-71.80553;2009;2019;;;;;
