ID;LAT;LONG;SUP;REGION;VOL_TOTAL;MAX_7_JOUR;GEL_TOTAL;CRITERE;SOURCE;PUIT_SIH;SITE;SITE_PREL;COEF_CONS
1;45.9786;-72.1102;14695.9;17;10;3;0;1;SOUTERRAIN;0;0;;0.9
2;45.9809;-72.1097;62951.1;17;10;3;0;1;SOUTERRAIN;0;0;;0.9
3;46.0090;-72.4770;330.823;17;117.8;39.27;0;1;SOUTERRAIN;0;0;;0.9
4;45.9888;-72.3661;0.56099;17;60.65;20.22;0;1;SOUTERRAIN;0;0;;0.9
5;46.0808;-72.2863;265.666;17;115.56;38.52;0;1;SOUTERRAIN;0;0;;0.9
6;46.0766;-72.2816;702.847;17;117.62;39.21;0;1;SOUTERRAIN;0;0;;0.9
7;46.0818;-72.3256;133.436;17;115;38.33;0;1;SOUTERRAIN;0;0;;0.9
8;45.9906;-72.3599;109.085;17;97.02;32.34;0;1;SOUTERRAIN;0;0;;0.9
9;46.0473;-72.4668;162867;17;31.93;15.97;0;1;SOUTERRAIN;0;0;;0.9
10;45.8087;-72.0600;1491.18;5;15.6;7.8;0;1;SOUTERRAIN;0;0;;0.9
11;46.0665;-72.0343;5010.96;17;30;8;0;1;SOUTERRAIN;0;0;;0.9
12;46.1451;-72.6321;50764.3;17;50;25;0;1;SOUTERRAIN;0;0;;0.9
13;46.2173;-72.5938;1080.37;17;40;20;0;1;SOUTERRAIN;0;0;;0.9
14;46.1332;-72.5969;580.745;17;50;25;0;1;SOUTERRAIN;0;0;;0.9
15;46.0571;-72.5766;32468.6;17;60;30;0;1;SOUTERRAIN;0;0;;0.9
16;46.1184;-72.6226;399.889;17;60;30;0;1;SOUTERRAIN;0;0;;0.9
17;46.1045;-72.5436;76623.4;17;60;30;0;1;SOUTERRAIN;0;0;;0.9
18;46.0344;-72.5999;119755;17;60;30;0;1;SOUTERRAIN;0;0;;0.9
19;46.1341;-72.5901;2159.64;17;50;25;0;1;SOUTERRAIN;0;0;;0.9
20;46.1121;-72.5585;92173.4;17;50;25;0;1;SOUTERRAIN;0;0;;0.9
21;46.2127;-72.5973;97009.1;17;60;30;0;1;SOUTERRAIN;0;0;;0.9
22;46.2037;-72.5751;23242.9;17;60;30;0;1;SOUTERRAIN;0;0;;0.9
23;46.0859;-72.5260;2745.99;17;40;20;80;1;SOUTERRAIN;0;0;;0.9
24;46.1274;-72.6037;31734.9;17;50;25;0;1;SOUTERRAIN;0;0;;0.9
