#SITE;LAT;LONG;Nom de la station d'epuration;Numero de la station d'epuration;Numero du systeme de traitement;CRITERE;SOURCE;TYPE;EFFLUENT (l/j);Numero de lieu SAGO;Municipalite(s) desservie(s);Classification;Type de traitement (description);Taille de la station d'epuration;Categorie de suivi;Date de mise en service;Population de conception;Debit - Calcul de taille (m3/d);Debit de conception (m3/d);DBO5C de conception (kg/d);Lac/Cours d'eau (milieu recepteur);Nom du bassin primaire;equipements de traitements;Nombre d ouvrages de surverse;Date d'effectivite de l'AA
1;45.786111;-71.943889;Station d'epuration d'Asbestos;35700-1;5;1;SURFACE;MUNICIPAL;5849000;X2008638;0;Boues activees;Boues activees;Moyenne;5;32478;10225;5326.7;5546;553;Nicolet Sud-Ouest, Riviere;Nicolet, Riviere;"BA; DeC SEC; DeG GR; DESS AeRe; PD; UV";2;0
2;45.958611;-71.829167;Station d'epuration de Chesterville;39030-1;20;1;SURFACE;MUNICIPAL;167467;X2049635;0;etangs aeres;etangs aeres a parois verticales;Tres petite;2;36220;230;234.2;182.8;16.2;Dumont, Riviere;Nicolet, Riviere;"EA (4 cell.); PD";1;0
3;45.897222;-71.659444;Station d'epuration d'Ham-Nord;26690-1;31;1;SURFACE;MUNICIPAL;322233;X2049476;0;etangs aeres;etangs aeres;Tres petite;2;31990;500;365.7;295;27;Demers, Ruisseau;Nicolet, Riviere;"EA (2 cell.); PD";1;0
4;45.861944;-72.085;Station d'epuration de Kingsey Falls;41120-1;50;1;SURFACE;MUNICIPAL;799367;90234725;0;etangs aeres;etangs aeres;Petite;3;34394;1505;1051.2;1132;106;Nicolet Sud-Ouest, Riviere;Nicolet, Riviere;"EA (3 cell.); PD";1;0
5;46.005556;-72.346667;Station d'epuration de Notre-Dame-du-Bon-Conseil;49075-1;82;1;SURFACE;MUNICIPAL;1004900;X2049490;0;etangs aeres;etangs aeres;Petite;3;35186;1382;1067.2;904;71;Nicolet, Riviere;Nicolet, Riviere;"EA (3 cell.); PD";5;0
6;45.996667;-72.089444;Station d'epuration de Saint-Albert;34680-1;86;1;SURFACE;MUNICIPAL;187767;X2049501;0;etangs aeres;etangs aeres;Tres petite;2;34366;400;146.1;162;24;Nicolet, Riviere;Nicolet, Riviere;"EA (2 cell.); PD";2;0
7;45.915556;-72.441667;Station d'epuration de Saint-Cyrille-de-Wendover (Hebert);49070-1;104;1;SURFACE;MUNICIPAL;64100;X2049509;0;Autres;Filtres intermittents a recirculation;Tres petite;1;36069;262;75.8;86;13;Loutre, Ruisseau la;Nicolet, Riviere;"FG; FIR; FS(F)";0;0
8;46.090556;-72.463889;Station d'epuration de Sainte-Perpetue;33560-1;179;1;SURFACE;MUNICIPAL;390033;X2049528;0;etangs aeres;etangs aeres;Moyenne;4;34912;342;400.6;397;217;Aime-Dionne, Ruisseau;Nicolet, Riviere;"DeG GR; EA (3 cell.); PD";2;0
9;45.801111;-72.008333;Station d'epuration de Danville;35720-1;249;1;SURFACE;MUNICIPAL;2319733;X2008655;0;etangs aeres;etangs aeres;Petite;3;31686;2903;2168.4;2730;157;Nicolet, Riviere;Nicolet, Riviere;"EA (4 cell.); PD";3;0
10;46.025583;-72.482523;Station d'epuration de Sainte-Brigitte-des-Saults;49085-1;328;1;SURFACE;MUNICIPAL;59000;X2150498;0;Disques biologiques;Disques biologiques;Tres petite;1;41974;223;98.8;98.8;15.1;Saults, Riviere des;Nicolet, Riviere;"DeC SEC; BD; FS; PD; UV";1;0
11;46.110278;-72.403056;Station d'epuration de Saint-Leonard-D'Aston;50042-1;373;1;SURFACE;MUNICIPAL;1531533;X2049518;0;etangs aeres;etangs aeres;Petite;3;35096;1249;1774.5;1026;79;Nicolet, Riviere;Nicolet, Riviere;"EA (3 cell.); PD";4;0
12;45.873333;-71.941944;Station d'epuration de Tingwick;39025-2;482;1;SURFACE;MUNICIPAL;360000;X2049530;0;etangs aeres;etangs aeres;Tres petite;2;42005;478;378;396;36;0;Nicolet, Riviere;"EA (5 cell.); PD";1;0
13;45.946667;-72.006944;Station d'epuration de Warwick;34280-1;522;1;SURFACE;MUNICIPAL;3009167;X2049539;0;etangs aeres;etangs aeres;Moyenne;5;32478;4220;2978.3;3200;1051;Pins, Riviere des;Nicolet, Riviere;"EA (3 cell.); PD";4;0
14;45.739722;-71.8325;Station d'epuration de Wotton;40017-1;523;1;SURFACE;MUNICIPAL;273333;X2008578;0;etangs aeres;etangs aeres;Tres petite;2;29221;750;491.3;346;77;Nicolet Sud-Ouest, Riviere;Nicolet, Riviere;"EA (2 cell.); PD";3;0
15;46.051111;-71.976389;Station d'epuration de Victoriaville;34440-1;671;1;SURFACE;MUNICIPAL;36575600;X2049534;0;Boues activees;Boues activees;Grande;6;31413;34125;32710.7;28852;3600;Nicolet, Riviere;Nicolet, Riviere;"BA; DeC SEC; DeG GR; DESS AeRe; FG; PD";32;0
16;45.857072;-71.541353;Station d'epuration des Saints-Martyrs-Canadiens;39005-1;742;1;SURFACE;MUNICIPAL;19633;X2117929;0;Autres;Marais artificiel de type roseaux epurateurs HSS;Tres petite;1;40483;100;15.5;36;5.3;0;Nicolet, Riviere;"FS; ROS; PD";0;0
17;45.826111;-71.734444;Station d'epuration de Saint-Adrien;26710-1;768;1;SURFACE;MUNICIPAL;91733;X2008572;0;etangs aeres;etangs aeres;Tres petite;1;30956;502;98.6;168;25;Nicolet Nord-Est, Riviere;Nicolet, Riviere;EA (2 cell.);0;0
18;45.691918;-71.829969;Station d'epuration de Saint-Georges-de-Windsor;40032-1;798;1;SURFACE;MUNICIPAL;137300;X2019299;0;etangs aeres;etangs aeres a parois verticales;Moyenne;4;38200;277;49;107.7;19.2;Soucy, Ruisseau;Nicolet, Riviere;"EA (4 cell.); PD";0;0
