No;Intitule fiche FLORA;m3 /tete/an;Source
0;Agneaux;2,92;PACES Monteregie
1;Agnelles de remplacement;1,22;PACES Monteregie
2;Autres cervides femelles;9,006;PACES Monteregie
3;Autres volailles;0,0365;BPR 2003
4;Autruches;0,146;PACES Monteregie
5;Beliers;2,92;PACES Monteregie
6;Bisons;16,425;PACES Monteregie
7;Bovins de finition;5,631;PACES Monteregie
8;Bovins de semi finition;4,073;PACES Monteregie
9;Brebis de boucherie;2,92;PACES Monteregie
10;Brebis laitieres;2,92;PACES Monteregie
11;Cailles;0,002;PACES Monteregie
12;Canards;0,007;PACES Monteregie
13;Cerfs rouges;9,006;PACES Monteregie
14;Chevaux de course femelles;16,425;PACES Monteregie
15;Chevaux de course males;16,425;PACES Monteregie
16;Chevaux de selles femelles;16,425;PACES Monteregie
17;Chevaux de selles males;16,425;PACES Monteregie
18;Chevaux de trait femelles;16,425;PACES Monteregie
19;Chevaux de trait males;16,425;PACES Monteregie
20;Chevreaux laitiers a engraissement;5,792;PACES Monteregie
21;Chevres de boucherie;5,792;PACES Monteregie
22;Chevres laitieres;5,792;PACES Monteregie
23;Cochettes;6,205;PACES Nicolet
24;Dindons a griller;0,029;PACES Monteregie
25;Dindons de reproduction;0,1825;PACES Monteregie
26;Dindons lourds;0,056;PACES Monteregie
27;emeus;0,183;PACES Monteregie
28;Faisans;0,146;PACES Monteregie
29;Genisses de boucherie;8,296;PACES Monteregie
30;Genisses laitieres;8,505;PACES Monteregie
31;Gros poulets;0,014;PACES Monteregie
32;Hongres;16,425;PACES Monteregie
33;Lapines de reproduction;0,172;PACES Monteregie
34;Lapins pour chair;0,172;PACES Monteregie
35;Oies;0,146;Absentes de toutes les chartes
36;Petits veaux laitiers abattage;1,175;Idem que Veaux de lait
37;Pintades;0,146;PACES Monteregie
38;Porcelets non sevres;0,912;BPR 2003
39;Porcelets sevres;0,912;PACES Monteregie
40;Porcs a engraissement;2,555;PACES Monteregie
41;Poulains et pouliches;16,425;PACES Monteregie
42;Poules pour oeufs de consommation;0,073;PACES Monteregie
43;Poules pour oeufs incubation;0,073;PACES Monteregie
44;Poulets a griller;0,073;PACES Monteregie
45;Poulettes pour oeufs de consommation;0,073;PACES Monteregie
46;Poulettes pour oeufs incubation;0,073;PACES Monteregie
47;Sangliers;2,555;PACES Monteregie
48;Taureaux de boucherie;14,993;PACES Monteregie
49;Taureaux laitiers;14,993;PACES Monteregie
50;Taures de boucherie;14,483;PACES Monteregie
51;Taures laitieres;11,615;PACES Monteregie
52;Truies;6,205;PACES Monteregie
53;Vaches de boucherie;17,838;PACES Monteregie
54;Vaches laitieres;39,63;PACES Monteregie
55;Veaux de grain finition;3,318;PACES Monteregie
56;Veaux de grain pouponniere;1,175;PACES Monteregie
57;Veaux de lait;1,175;PACES Monteregie
58;Verrats;5,475;PACES Monteregie
59;Visons;0,172;PACES Monteregie
60;Wapitis;9,006;PACES Monteregie
