Installation de production Saint-Cyrille-de-Wendover;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Annee:2018;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Numero de l'intervenant;Nom de l'intervenant;Numero sequentiel du lieu de la declaration;Annee;Mois;Nbr annuel de jours de prelevement;Volume annuel preleve (l);Volume moyen quotidien (l);Nombre de jour de prelevement;Volume dedie par lieu par scian;Volume total mensuel;Source du prelevement (description);Numero sequentiel d'utilisation de la declaration;Numero sequentiel du site de prelevement;Nom legal du lieu ou personne physique;Code scian par lieu par mois (code);Code scian par lieu par mois (description);Code scian par lieu par mois (groupe);Latitude DD Nad83 (site);Longitude DD Nad83 (site);Volume consomme par lieu par scian
19320969;Club de golf Vallee de la Lievre inc.;30943;2018;5;85;28985000;341000;10;3410000;3410000;Souterrain;294583;44475;club de golf vallee de la lievre ;71391;Terrains de golf & country clubs;7139  ;46.56422222;-75.407125;NULL
19320969;Club de golf Vallee de la Lievre inc.;30943;2018;6;85;28985000;341000;20;6820000;6820000;Souterrain;294584;44475;club de golf vallee de la lievre ;71391;Terrains de golf & country clubs;7139  ;46.56422222;-75.407125;NULL
19320969;Club de golf Vallee de la Lievre inc.;30943;2018;7;85;28985000;341000;25;8525000;8525000;Souterrain;294592;44475;club de golf vallee de la lievre ;71391;Terrains de golf & country clubs;7139  ;46.56422222;-75.407125;NULL
Y2192469;Recochem Inc.;34198;2018;1;269;36663400;192630.77;24;4584500;4584500;NULL;341240;49609;Recochem Inc. (Montee de Liesse);3259;Fab. d'autres produits chimiques;325   ;NULL;NULL;NULL
Y2047775;Le Club Laval-sur-le-Lac;31009;2018;4;153;208303969;2542431.55;8;279117;279117;Surface;295125;44552;Club de golf Laval-sur-le-Lac;7139;Autres services de divertissement & loisirs;713   ;45.53578333;-73.87871944;279117
13429402;Ville de Lery;28199;2018;11;364;34165000;153666.67;30;1796000;1796000;Souterrain;294582;40619;Station de purification Lery-Chateaulyne (poste chloration);22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.36124842;-73.78916814;NULL
13429402;Ville de Lery;28199;2018;1;364;34165000;153666.67;31;2098000;2098000;Souterrain;255429;40619;Station de purification Lery-Chateaulyne (poste chloration);22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.36124842;-73.78916814;NULL
Y2008344;Ville de Warwick;28510;2018;1;365;478010000;1995750;31;54681000;54681000;Souterrain;259485;41086;Station de purification Warwick (post.chl.);22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.92968392;-71.9899423;8202150
Y2104702;Wilsonart Canada ULC;28248;2018;1;NULL;NULL;NULL;31;2633000;2633000;NULL;256219;40692;Arborite inc.;326130;Fab. plaque, feuille & forme stratifiee plast.;32613 ;NULL;NULL;NULL
13429402;Ville de Lery;28199;2018;2;364;34165000;153666.67;28;1944000;1944000;Souterrain;260169;40619;Station de purification Lery-Chateaulyne (poste chloration);22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.36124842;-73.78916814;NULL
Y2008344;Ville de Warwick;28510;2018;2;365;478010000;1995750;28;55881000;55881000;Souterrain;259486;41086;Station de purification Warwick (post.chl.);22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.92968392;-71.9899423;8382150
