#SITE;LAT(d);LONG(d);CLE_COMPOS;DESC_COMPO;nom_lieu;CRITERE;SOURCE;TYPE;PRELEV (l/j);CODE SCIAN;COEF_CONS;CONTINUE;MOIS D;MOIS FIN;SITE_GPE;SITE_GPE_LAT;SITE_GPE_LONG;SITE_GPE_D;SITE_GPE_F;SITE_ELEVAGES;SITE_ELEVAGES_LAT;SITE_ELEVAGES_LONG;SITE_CULTURES;CRITERE_CONSOMMATION
1;45.790461;-71.92845;X0008198-1;Val-Des-Sources No approvisionnement:5710;Station de purification Val-Des-Sources;1;SURFACE;MUNICIPAL;1738766;221;1;1;1;12;Station de purification Val-Des-Sources;45.79046;-71.92845;2010;2019;;;;;
2;45.77737;-71.91867;X0008198-2;Reserve;Station de purification Val-Des-Sources;1;SURFACE;MUNICIPAL;1738766;221;1;1;1;12;Ville de Val-des-Sources;45.77737;-71.91867;2020;2020;;;;;
3;46.220714;-72.612343;X0008234-2;Riviere Nicolet Nicolet No approvisionnement:5173;Systeme de production Nicolet. (sta.pur.);1;SURFACE;MUNICIPAL;4791531;221;1;1;1;12;Systeme de production Nicolet. (sta.pur.);46.22071;-72.61234;2009;2019;;;;;
4;45.762357;-72.013452;X0008336-1;DANVILLE (RIVIeRE) No approvisionnement:11296;Station de purification Danville;1;SURFACE;MUNICIPAL;630795;221;1;1;1;12;Station de purification Danville;45.76236;-72.01345;2009;2019;;;;;
5;45.844277;-72.090991;X0008695-2;Puits 1 Kingsey Falls No approvisionnement:3905;Installation de production Kingsey-Falls. (aut. trai.);1;SOUTERRAIN;MUNICIPAL;532969;221;1;1;1;12;Installation de production Kingsey-Falls. (aut. trai.);45.84428;-72.09099;2009;2019;;;;;
6;45.846371;-72.092126;X0008695-3;Puits 2 Kingsey Falls No LCH : 68791;Installation de production Kingsey-Falls. (aut. trai.);0;SOUTERRAIN;MUNICIPAL;0;221;1;1;1;12;Station de purification Kingsey-Falls. (aut. trai.);45.84637;-72.09213;2010;2010;;;;;
7;46.027553;-72.115994;X0008860-2;Source Saint-Elphege No approvisionnement:12856;Station de purification Saint-Elphege (post.chl.);1;SOUTERRAIN;MUNICIPAL;75000;221;0.1;1;1;12;Station de purification Saint-Elphege (post.chl.);46.02755;-72.11599;2013;2019;;;;;
8;45.922259;-72.422064;X0008890-10;Puits F-11 No approvisionnement:45294;Installation de production Saint-Cyrille-de-Wendover;0;SOUTERRAIN;MUNICIPAL;0;221;1;1;1;12;Installation de production Saint-Cyrille-de-Wendover;45.92226;-72.42206;2009;2018;;;;;
9;45.924728;-72.426488;X0008890-11;Puits Tessier 2 - No LCH : 68817;Installation de production Saint-Cyrille-de-Wendover;0;SOUTERRAIN;MUNICIPAL;0;221;1;1;1;12;Installation de production Saint-Cyrille-de-Wendover;45.92473;-72.42649;2010;2018;;;;;
10;45.920704;-72.427296;X0008890-2;Puits Robert No approvisionnement:45229;Installation de production Saint-Cyrille-de-Wendover;0;SOUTERRAIN;MUNICIPAL;0;221;1;1;1;12;Installation de production Saint-Cyrille-de-Wendover;45.9207;-72.4273;2009;2018;;;;;
11;45.920732;-72.427245;X0008890-3;Puits Lemire No approvisionnement:45237;Installation de production Saint-Cyrille-de-Wendover;0;SOUTERRAIN;MUNICIPAL;0;221;1;1;1;12;Installation de production Saint-Cyrille-de-Wendover;45.92073;-72.42725;2009;2018;;;;;
12;45.924364;-72.426907;X0008890-4;Puits Tessier No approvisionnement:45245;Installation de production Saint-Cyrille-de-Wendover;0;SOUTERRAIN;MUNICIPAL;0;221;1;1;1;12;Installation de production Saint-Cyrille-de-Wendover;45.92436;-72.42691;2009;2018;;;;;
13;45.92465;-72.428632;X0008890-5;Puits des Pins No approvisionnement:45252;Installation de production Saint-Cyrille-de-Wendover;0;SOUTERRAIN;MUNICIPAL;0;221;1;1;1;12;Installation de production Saint-Cyrille-de-Wendover;45.92465;-72.42863;2009;2018;;;;;
14;45.926013;-72.417139;X0008890-6;Puits Houle No approvisionnement:45260;Installation de production Saint-Cyrille-de-Wendover;0;SOUTERRAIN;MUNICIPAL;0;221;1;1;1;12;Installation de production Saint-Cyrille-de-Wendover;45.92601;-72.41714;2009;2018;;;;;
15;45.913194;-72.445041;X0008890-7;Puits Hebert #2 No approvisionnement:4705;Installation de production Saint-Cyrille-de-Wendover;0;SOUTERRAIN;MUNICIPAL;0;221;1;1;1;12;Installation de production Saint-Cyrille-de-Wendover;45.91319;-72.44504;2009;2018;;;;;
16;45.924131;-72.419936;X0008890-8;Puits F-7 No approvisionnement:45278;Installation de production Saint-Cyrille-de-Wendover;0;SOUTERRAIN;MUNICIPAL;0;221;1;1;1;12;Installation de production Saint-Cyrille-de-Wendover;45.92413;-72.41994;2009;2018;;;;;
17;45.924471;-72.420554;X0008890-9;Puits F-9 No approvisionnement:45286;Installation de production Saint-Cyrille-de-Wendover;0;SOUTERRAIN;MUNICIPAL;0;221;1;1;1;12;Installation de production Saint-Cyrille-de-Wendover;45.92447;-72.42055;2009;2018;;;;;
18;45.993264;-72.341732;X0008898-2;Puits 2 NDBC pas utilise;Station de purification Notre-Dame-du-Bon-Conseil (aut.trait);0;SOUTERRAIN;MUNICIPAL;0;221;1;1;1;12;;;;;;;;;;
19;45.995119;-72.343962;X0008898-3;Puits 3 NDBC;Station de purification Notre-Dame-du-Bon-Conseil (aut.trait);1;SOUTERRAIN;MUNICIPAL;218173;221;1;1;1;12;Station de purification Notre-Dame-du-Bon-Conseil (aut.trait);45.99512;-72.34396;2011;2019;;;;;
20;45.996753;-72.346035;X0008898-4;Puits 1 NDBC inactif - colmate;Station de purification Notre-Dame-du-Bon-Conseil (aut.trait);0;SOUTERRAIN;MUNICIPAL;0;221;1;1;1;12;;;;;;;;;;
21;45.995163;-72.343993;X0008898-5;Puits 4 NDBC;Station de purification Notre-Dame-du-Bon-Conseil (aut.trait);1;SOUTERRAIN;MUNICIPAL;1102502;221;1;1;1;12;Station de purification Notre-Dame-du-Bon-Conseil (aut.trait);45.99516;-72.34399;2011;2019;;;;;
22;45.997721;-72.337808;X0008898-6;Pompe riviere Nicolet;Station de purification Notre-Dame-du-Bon-Conseil (aut.trait);0;SURFACE;MUNICIPAL;0;221;1;1;1;12;Station de purification Notre-Dame-du-Bon-Cons. (aut.trait);45.99772;-72.33781;2011;2011;;;;;
23;45.9936;-72.3413;X0008898-7;Ancien Puits 2 inactif - colmate;Station de purification Notre-Dame-du-Bon-Conseil (aut.trait);0;SOUTERRAIN;MUNICIPAL;0;221;1;1;1;12;;;;;;;;;;
24;45.99329;-72.34171;X0008898-8;Puits 5 NDBC;Station de purification Notre-Dame-du-Bon-Conseil (aut.trait);1;SOUTERRAIN;MUNICIPAL;1102502;221;1;1;1;12;Station de purification Notre-Dame-du-Bon-Conseil (aut.trait);45.99329;-72.34171;2016;2019;;;;;
25;45.965805;-71.598833;X0009138-1;St-Fortunat-Carrier-P1-PSU No approvisionnement:15990;Installation de production Saint-Fortunat;0;SOUTERRAIN;MUNICIPAL;0;221;0.1;1;1;12;;;;;;;;;;
26;45.962614;-71.60597;X0009138-2;St-Fortunat-Carrier P2-PSU No approvisionnement:16022;Installation de production Saint-Fortunat;0;SOUTERRAIN;MUNICIPAL;0;221;0.1;1;1;12;;;;;;;;;;
27;45.967722;-71.606252;X0009138-3;St-Fortunat-Carrier P3-PSU No approvisionnement:16055;Installation de production Saint-Fortunat;0;SOUTERRAIN;MUNICIPAL;0;221;0.1;1;1;12;;;;;;;;;;
28;45.969611;-71.603477;X0009138-4;St-Fortunat-Carrier P1-PSU No approvisionnement:11056;Installation de production Saint-Fortunat;0;SOUTERRAIN;MUNICIPAL;0;221;0.1;1;1;12;;;;;;;;;;
29;45.96735;-71.59709;X0009138-5;SF/PE-02-09;Installation de production Saint-Fortunat;1;SOUTERRAIN;MUNICIPAL;33910;221;0.1;1;1;12;;;;;;;;;;
30;45.912457;-71.727805;X0009169-1;Puits Notre-Dame-de-Ham No approvisionnement:4556;Station de purification Notre-Dame-de-Ham (aut.trait.);1;SOUTERRAIN;MUNICIPAL;16356;221;0.1;1;1;12;;;;;;;;;;
31;45.912718;-71.728714;X0009169-2;Sources Notre-Dame-de-Ham No approvisionnement:4564;Station de purification Notre-Dame-de-Ham (aut.trait.);1;SOUTERRAIN;MUNICIPAL;16356;221;0.1;1;1;12;;;;;;;;;;
32;45.91451;-71.63159;X0009171-10;YP5;Station de purification Ham-Nord (post.chl.);1;SOUTERRAIN;MUNICIPAL;12977;221;1;1;1;12;Station de purification Ham-Nord (post.chl.);45.91451;-71.63159;2009;2019;;;;;
33;45.91337;-71.63305;X0009171-11;YP6 Inactif;Station de purification Ham-Nord (post.chl.);0;SOUTERRAIN;MUNICIPAL;0;221;1;1;1;12;Station de purification Ham-Nord (post.chl.);45.91337;-71.63305;2009;2010;;;;;
