Compteur;#SITE GPE;Nom legal du lieu ou personne physique;NOM INTERVENANT;#SITE PRELEVEMENT;Distance (dd)
1;1;Station de purification Ham-Nord (post.chl.);CANTON DE HAM-NORD;14;0.00000000
2;2;Station de purification Ham-Nord (post.chl.);CANTON DE HAM-NORD;17;0.00000000
3;3;Station de purification Ham-Nord (post.chl.);CANTON DE HAM-NORD;18;0.00000000
4;4;Station de purification Ham-Nord (post.chl.);CANTON DE HAM-NORD;19;0.00000000
5;5;Station de purification Ham-Nord (post.chl.);CANTON DE HAM-NORD;9;0.00000000
6;6;Station de purification Ham-Nord (post.chl.);CANTON DE HAM-NORD;11;0.00000000
7;7;Station de purification Tingwick (post.chl.);MUNICIPALITE DE TINGWICK;27;0.00000000
8;8;Station de purification Chesterville. (aut. trai.);Municipalite de Chesterville;29;0.00000000
9;9;Station de purification Chesterville. (aut. trai.);Municipalite de Chesterville;30;0.00000000
10;10;Beton 34 inc.;BETON 34 INC.;124;0.00000000
11;11;Station de purification Victoriaville (sta.pur.);VILLE DE VICTORIAVILLE;31;0.00000000
12;12;Station de purification Victoriaville puits (post.chl.);VILLE DE VICTORIAVILLE;32;0.00000000
13;13;Station de purification Arthabaska (post. chl.);VILLE DE VICTORIAVILLE;33;0.00000000
14;14;Systeme d'approvisionnement sans traitement Victoriaville Aeroport (APP);VILLE DE VICTORIAVILLE;77;0.00000000
15;15;Installation de production de Princeville;Ville de Princeville;26;0.00000000
16;16;Station de purification Warwick (post.chl.);Ville de Warwick;24;0.00000000
17;17;Station de purification Warwick (post.chl.);Ville de Warwick;25;0.00000000
18;18;Station du Mont Gleason (Enneigement);Station du Mont Gleason inc.;110;0.00000000
19;19;Station du Mont Gleason (Enneigement);Station du Mont Gleason inc.;113;0.00000000
20;20;Station du mont Gleason (Chalet principal);Station du Mont Gleason inc.;46;0.00000000
21;21;Station Mont Gleason (Chalet sommet);Station du Mont Gleason inc.;81;0.00000000
22;22;Club de golf Laurier inc.;CLUB DE GOLF LAURIER INC.;94;0.00000000
23;23;Ferme Landrynoise inc., bovin laitier, lot 791;FERME LANDRYNOISE INC.;125;0.00000000
24;24;Ferme Landrynoise inc. - 5 181 251;FERME LANDRYNOISE INC.;126;0.00000000
25;25;Lactalis Victoriaville;LACTALIS CANADA INC.;89;0.00000000
26;26;Pisciculture d'Arthabaska inc.;Pisciculture d'Arthabaska inc.;104;0.00000000
27;27;Pisciculture d'Arthabaska inc.;Pisciculture d'Arthabaska inc.;105;0.00000000
28;28;Pisciculture d'Arthabaska inc.;Pisciculture d'Arthabaska inc.;106;0.00000000
29;29;Station de purification Saint-Norbert-d'Arthabaska;Municipalite de Saint-Norbert-d'Arthabaska;22;0.00000000
30;30;Station de purification Saint-Norbert-d'Arthabaska;Municipalite de Saint-Norbert-d'Arthabaska;23;0.00000000
31;31;9263-1266 Quebec inc.;9263-1266 QUEBEC INC.;127;0.00000000
32;32;Station de purification Saint-Elphege (post.chl.);MUNICIPALITE DE LA PAROISSE DE SAINT-ELPHEGE;1;0.00000000
33;33;Les Gazons Ste-Julie ltee, Arthabaska;LES GAZONS STE-JULIE LTEE;128;0.00000000
34;34;Excavation Marquis-Tardif inc. Sabliere, rang 2 lot 20D-P et 21-A-P a Notre-Dame-de-Ham;EXCAVATION MARQUIS TARDIF INC.;118;0.00000000
35;35;Les Gazons Ste-Julie ltee, Arthabaska;LES GAZONS STE-JULIE LTEE
36;36;Sural Quebec inc., Victoriaville;Sural Quebec inc.;119;0.00000000
37;37;Carrieres PCM inc. lots 23B-p, 24A-p et 24B-p, Princeville;Carrieres P.C.M. inc.;123;0.00000000
38;38;Pisciculture d'Arthabaska Inc.;Pisciculture d'Arthabaska inc.;121;0.00000000
39;39;Carrieres PCM (1994) inc. Saint-Valere, 1200 rang Landry, Lot P-458  Saint-Valere;Carrieres P.C.M. inc.;101;0.00000000
40;40;Warwick;Saputo Produits Laitiers Canada S.E.N.C.;86;0.00000000
41;41;Station de purification Club de golf Laurier (aut.trait.);Club de Golf Laurier Inc.;47;0.00000000
42;42;Verger des Bois-Francs inc.;Verger des Bois-Francs inc.
43;43;Usine de Warwick;Saputo Produits Laitiers Canada S.E.N.C.;122;0.00000000
44;44;Club de golf Laurier inc.;Club de Golf Laurier Inc.;93;0.00000000
45;45;Systeme d'approvisionnement sans traitement Camping Plage des Sables (app);Gestion Labrise inc.;45;0.00000000
46;46;Station de purification Ham-Nord (post.chl.);Canton de Ham-Nord;10;0.00000000
47;47;Station du Mont Gleason inc.;Station du Mont Gleason inc.;111;0.00000000
48;48;Station du Mont Gleason inc.;Station du Mont Gleason inc.;112;0.00000000
